rank	node	node_type	visit_count	visit_prob	degree
246	CFL1	gene	734917	0.00040356	294
247	EIF5A	gene	732610	0.00040229	332
248	SMARCC2	gene	732070	0.00040199	267
249	NRP1	gene	729445	0.00040055	171
250	CTNNB1	gene	728855	0.00040023	243
251	RHOJ	gene	728543	0.00040006	301
252	VASP	gene	724567	0.00039787	231
253	NINL	gene	724139	0.00039764	307
254	TULP3	gene	722402	0.00039668	263
255	RTF1	gene	722363	0.00039666	266
256	GNA13	gene	720294	0.00039553	185
257	RHOG	gene	716469	0.00039343	279
258	AP2S1	gene	716330	0.00039335	192
259	FXR2	gene	714919	0.00039258	308
260	PFN1	gene	709465	0.00038958	271
261	RING1	gene	709315	0.0003895	226
262	PBRM1	gene	708362	0.00038897	204
263	UQCRC1	gene	707942	0.00038874	277
264	PDGFRB	gene	707313	0.0003884	219
265	YES1	gene	705977	0.00038767	252
266	ANXA1	gene	705802	0.00038757	229
267	LRP6	gene	704395	0.0003868	161
268	NDUFB10	gene	701946	0.00038545	259
269	DDX17	gene	700672	0.00038475	326
270	NDUFS7	gene	698268	0.00038343	258
271	RAN	gene	695750	0.00038205	271
272	UBA52	gene	693310	0.00038071	241
273	RHOA	gene	692818	0.00038044	297
274	RDX	gene	690955	0.00037942	229
275	DNAJB1	gene	689920	0.00037885	307
276	HSPG2	gene	688042	0.00037782	158
277	PRPF40A	gene	686846	0.00037716	291
278	PDIA4	gene	686512	0.00037698	259
279	DYNLT1	gene	686049	0.00037672	263
280	DNAJC1	gene	685877	0.00037663	319
281	AP1M1	gene	682708	0.00037489	201
282	KRT18	gene	682530	0.00037479	218
283	USP9X	gene	681114	0.00037401	275
284	MED31	gene	676993	0.00037175	213
285	IGF2R	gene	676641	0.00037156	220
286	CDC40	gene	676381	0.00037141	212
287	ANAPC1	gene	676314	0.00037138	248
288	BCAP31	gene	675852	0.00037112	275
289	MLLT3	gene	674829	0.00037056	219
290	ITPR1	gene	674540	0.0003704	208
291	NUMA1	gene	674481	0.00037037	332
292	NDUFB8	gene	674299	0.00037027	224
293	REST	gene	672726	0.00036941	288
294	CTNNA1	gene	671534	0.00036875	224
295	HNRNPR	gene	671435	0.0003687	340
296	YKT6	gene	671293	0.00036862	192
297	LRP1	gene	671052	0.00036849	205
298	ATP1A1	gene	667014	0.00036627	251
299	LPAR1	gene	665429	0.0003654	180
300	FGFR4	gene	664251	0.00036475	189
301	CTNND1	gene	663301	0.00036423	213
302	NCAPD3	gene	663103	0.00036412	282
303	DNMT3A	gene	662617	0.00036386	202
304	SMC3	gene	662523	0.0003638	242
305	COX5B	gene	660959	0.00036294	210
306	BAG2	gene	660781	0.00036285	279
307	DCAF7	gene	659974	0.0003624	226
308	CIT	gene	656959	0.00036075	306
309	VWF	gene	654979	0.00035966	197
310	ENY2	gene	654101	0.00035918	253
311	SUV39H1	gene	653080	0.00035862	223
312	DNAJC10	gene	651233	0.0003576	304
313	SMARCE1	gene	650235	0.00035706	221
314	NCOA1	gene	649352	0.00035657	208
315	MRPS18A	gene	648906	0.00035633	284
316	TRIM27	gene	648314	0.000356	243
317	PPP2R1B	gene	647058	0.00035531	190
318	UBQLN4	gene	644995	0.00035418	302
319	LSM4	gene	643542	0.00035338	216
320	SMARCD1	gene	643481	0.00035335	210
321	PIN1	gene	641602	0.00035232	250
322	TRIM14	gene	641427	0.00035222	351
323	TRIM33	gene	640896	0.00035193	222
324	DDX39A	gene	640351	0.00035163	206
325	BCOR	gene	640084	0.00035148	243
326	ARIH1	gene	640023	0.00035145	215
327	CD36	gene	639748	0.0003513	162
328	CD2AP	gene	639662	0.00035125	205
329	GRWD1	gene	639312	0.00035106	311
330	SEC61G	gene	639108	0.00035095	201
331	STAT5B	gene	637214	0.00034991	172
332	MDFI	gene	637093	0.00034984	164
333	NSF	gene	636551	0.00034954	216
334	NOC4L	gene	636354	0.00034943	234
335	MSH2	gene	635069	0.00034873	235
336	MECP2	gene	634261	0.00034828	271
337	ACTR1A	gene	633274	0.00034774	243
338	HMGA1	gene	633123	0.00034766	303
339	SLC9A3R1	gene	632461	0.0003473	186
340	TINF2	gene	632100	0.0003471	192
341	COMMD4	gene	631632	0.00034684	220
342	BAG5	gene	629811	0.00034584	258
343	UQCRH	gene	629450	0.00034564	219
344	COPA	gene	629217	0.00034551	252
345	CCDC22	gene	629032	0.00034541	201
346	CAPRIN1	gene	628612	0.00034518	327
347	ATAD3A	gene	627269	0.00034445	300
348	STX6	gene	626839	0.00034421	151
349	CWC22	gene	626583	0.00034407	195
350	ACTB	gene	626385	0.00034396	220
351	LRP5	gene	625941	0.00034372	144
352	SRC	gene	623881	0.00034258	187
353	ZNF746	gene	623839	0.00034256	291
354	SEC63	gene	621518	0.00034129	257
355	LMBR1L	gene	617369	0.00033901	248
356	SRPRB	gene	613710	0.000337	246
357	WDR36	gene	613378	0.00033682	234
358	SMC1A	gene	612554	0.00033636	244
359	HEATR1	gene	610899	0.00033546	231
360	NDUFB7	gene	610697	0.00033535	210
361	GTF2E1	gene	610644	0.00033532	199
362	CHEK1	gene	608183	0.00033396	223
363	SHANK3	gene	605251	0.00033235	204
364	UQCRB	gene	604105	0.00033173	198
365	HSP90AB1	gene	600918	0.00032998	212
366	DERL1	gene	600571	0.00032978	191
367	TPR	gene	600412	0.0003297	212
368	CUL7	gene	598722	0.00032877	277
369	RRS1	gene	597970	0.00032836	290
370	OCLN	gene	597577	0.00032814	166
371	PSMA2	gene	597405	0.00032805	205
372	CBX6	gene	596353	0.00032747	184
373	BCLAF1	gene	596250	0.00032741	249
374	C4A	gene	595494	0.000327	128
375	ESR1	gene	591980	0.00032507	208
376	POLE2	gene	588723	0.00032328	195
377	RFC4	gene	588495	0.00032315	222
378	GAB2	gene	587821	0.00032278	154
379	SGTA	gene	587733	0.00032274	199
380	UBE2S	gene	587109	0.00032239	198
381	TAF9B	gene	584596	0.00032101	195
382	VAMP8	gene	584345	0.00032087	162
383	THRAP3	gene	583650	0.00032049	272
384	CBFB	gene	583583	0.00032046	187
385	ADRB2	gene	583354	0.00032033	168
386	ATP6V0D1	gene	582881	0.00032007	198
387	MORF4L1	gene	582595	0.00031991	193
388	LMAN1	gene	582589	0.00031991	242
389	STRN	gene	579755	0.00031835	170
390	DYNC1I2	gene	579330	0.00031812	191
391	BMI1	gene	577831	0.0003173	240
392	PRKAR1A	gene	577390	0.00031706	200
393	PRKCZ	gene	574670	0.00031556	210
394	UBE2K	gene	573759	0.00031506	194
395	TNRC6A	gene	572810	0.00031454	249
396	SEC16A	gene	572759	0.00031451	220
397	EIF2AK2	gene	572756	0.00031451	222
398	ACTR3	gene	572650	0.00031445	218
399	GAB1	gene	572226	0.00031422	193
400	PRDX1	gene	571050	0.00031357	242
401	SYT1	gene	569979	0.00031299	156
402	FADD	gene	569163	0.00031254	161
403	LGALS8	gene	568124	0.00031197	160
404	MRPS34	gene	567921	0.00031186	237
405	ITPR3	gene	565634	0.0003106	193
406	ARID1A	gene	564973	0.00031024	182
407	ANAPC5	gene	564208	0.00030982	190
408	CALM3	gene	563956	0.00030968	195
409	HSPA8	gene	562872	0.00030908	228
410	YWHAZ	gene	561941	0.00030857	228
411	GOPC	gene	561727	0.00030845	166
412	MRPS23	gene	557543	0.00030616	240
413	SETD2	gene	556334	0.00030549	189
414	NCKAP1	gene	555682	0.00030514	164
415	ERCC6	gene	555429	0.000305	186
416	KIF20A	gene	555035	0.00030478	235
417	HECTD1	gene	553267	0.00030381	233
418	PRPF38A	gene	550817	0.00030246	188
419	ATXN3	gene	548159	0.000301	211
420	AP1S2	gene	546801	0.00030026	149
421	TADA3	gene	546697	0.0003002	203
422	HSPA1A	gene	546442	0.00030006	239
423	CDC25A	gene	545562	0.00029958	109
424	TAB2	gene	545413	0.0002995	190
425	LSM14A	gene	544992	0.00029927	252
426	LATS1	gene	544919	0.00029923	173
427	ARF6	gene	544919	0.00029923	166
428	NIN	gene	544557	0.00029903	234
429	FOXO3	gene	544218	0.00029884	179
430	SLC3A2	gene	543870	0.00029865	187
431	NDUFB3	gene	543739	0.00029858	172
432	AKT1	gene	542116	0.00029769	201
433	DDX1	gene	541500	0.00029735	247
434	TFAP2A	gene	541097	0.00029713	189
435	SYMPK	gene	540949	0.00029705	202
436	MRPS18B	gene	540588	0.00029685	230
437	LRRC31	gene	540442	0.00029677	204
438	COMMD2	gene	537927	0.00029539	169
439	IRF3	gene	537881	0.00029536	181
440	DAG1	gene	537427	0.00029511	140
441	METAP2	gene	537315	0.00029505	276
442	MED23	gene	536851	0.00029479	166
443	PRPF4B	gene	536725	0.00029473	233
444	CLTB	gene	534714	0.00029362	173
445	PCBP2	gene	534651	0.00029359	230
446	ATXN1	gene	534632	0.00029358	146
447	PPL	gene	533676	0.00029305	114
448	SEC31A	gene	533354	0.00029287	166
449	HGF	gene	531415	0.00029181	154
450	PSMA4	gene	530604	0.00029136	175
451	BIRC3	gene	528863	0.00029041	149
452	PPARA	gene	528329	0.00029012	159
453	EEFSEC	gene	528306	0.0002901	213
454	UBAP2L	gene	527585	0.00028971	239
455	HSCB	gene	527238	0.00028952	225
456	DLG2	gene	526537	0.00028913	128
457	PICK1	gene	525905	0.00028878	149
458	DBN1	gene	525868	0.00028876	251
459	BRCA1	gene	525791	0.00028872	175
460	CEBPA	gene	525482	0.00028855	166
461	CACNA1C	gene	525402	0.00028851	126
462	KRT8	gene	525014	0.00028829	192
463	MAX	gene	523655	0.00028755	190
464	WDR82	gene	521934	0.0002866	210
465	EMG1	gene	521085	0.00028614	187
466	PRKAA1	gene	519674	0.00028536	172
467	COPB1	gene	519197	0.0002851	184
468	BMP2	gene	518859	0.00028492	116
469	MYCN	gene	518374	0.00028465	333
470	SDHA	gene	516911	0.00028385	201
471	KBTBD7	gene	515922	0.0002833	191
472	TUBGCP3	gene	515321	0.00028297	214
473	HNRNPH2	gene	514913	0.00028275	221
474	MRPS24	gene	514576	0.00028256	205
475	TIMM50	gene	514147	0.00028233	196
476	HSPA4	gene	513585	0.00028202	184
477	TXNIP	gene	513265	0.00028184	200
478	NPM1	gene	513246	0.00028183	226
479	TCF7L2	gene	512805	0.00028159	186
480	PRKCD	gene	512379	0.00028136	184
481	MED9	gene	511623	0.00028094	172
482	MED28	gene	511455	0.00028085	160
483	COMMD3	gene	511287	0.00028076	153
484	GADD45GIP1	gene	509896	0.00027999	192
485	LSM3	gene	509742	0.00027991	165
486	BIRC6	gene	508397	0.00027917	181
487	MED20	gene	506238	0.00027798	156
488	TAF8	gene	505703	0.00027769	147
489	TNKS1BP1	gene	505335	0.00027749	231
490	SETD1A	gene	504643	0.00027711	223
491	YWHAE	gene	503790	0.00027664	207
492	AP1S1	gene	503425	0.00027644	128
493	GCC2	gene	503346	0.0002764	160
494	BANF1	gene	502979	0.0002762	189
495	YWHAB	gene	502254	0.0002758	207
496	NUP214	gene	500123	0.00027463	165
497	NDUFA10	gene	499837	0.00027447	168
498	AHSA1	gene	499466	0.00027427	235
499	DIDO1	gene	498797	0.0002739	213
500	CXXC1	gene	497997	0.00027346	210
501	BICD2	gene	497338	0.0002731	225
502	AQR	gene	497207	0.00027303	169
503	H3C1	gene	496713	0.00027275	202
504	SENP3	gene	496535	0.00027266	197
505	RABGGTB	gene	496202	0.00027247	125
506	CNOT2	gene	495868	0.00027229	177
507	ATP6AP2	gene	495671	0.00027218	181
508	GRK5	gene	494093	0.00027132	192
509	TRAF3IP1	gene	493442	0.00027096	166
510	SMAD7	gene	493139	0.00027079	154
511	FGF10	gene	492236	0.0002703	132
512	IFT57	gene	492188	0.00027027	171
513	ATP6V0C	gene	491701	0.00027	128
514	EIF5A2	gene	491654	0.00026998	254
515	MAP3K5	gene	490727	0.00026947	165
516	NKX2-1	gene	490514	0.00026935	194
517	PHC2	gene	490202	0.00026918	151
518	RASA1	gene	489464	0.00026877	169
519	HYOU1	gene	488900	0.00026846	192
520	KDM5B	gene	488819	0.00026842	152
521	COPS2	gene	488117	0.00026803	168
522	STXBP1	gene	487619	0.00026776	152
523	DCP1A	gene	487268	0.00026757	183
524	NOTCH3	gene	486331	0.00026705	132
525	BMP7	gene	486233	0.000267	127
526	SETDB1	gene	485896	0.00026681	144
527	ABI2	gene	484143	0.00026585	150
528	MED25	gene	482784	0.00026511	146
529	HAX1	gene	482559	0.00026498	190
530	HSPE1	gene	481559	0.00026443	200
531	ITGA6	gene	480130	0.00026365	138
532	XRN2	gene	480007	0.00026358	232
533	PPIL1	gene	479430	0.00026326	157
534	SLC25A4	gene	479429	0.00026326	183
535	TMED7	gene	479331	0.00026321	206
536	CKAP5	gene	479286	0.00026318	195
537	VCP	gene	479279	0.00026318	207
538	ASCC3	gene	478692	0.00026286	211
539	FZD4	gene	478215	0.0002626	111
540	ANLN	gene	477906	0.00026243	214
541	ACVR2B	gene	477889	0.00026242	111
542	POLR3C	gene	477259	0.00026207	146
543	PTCH1	gene	477171	0.00026202	127
544	MRPL53	gene	475676	0.0002612	174
545	EXOSC4	gene	473273	0.00025988	213
546	ANXA5	gene	473079	0.00025978	187
547	WRN	gene	472686	0.00025956	160
548	ARNT	gene	471846	0.0002591	169
549	CDK12	gene	471260	0.00025878	167
550	PSMB6	gene	471030	0.00025865	156
551	TCF12	gene	470646	0.00025844	114
552	KRAS	gene	469929	0.00025805	211
553	RAP1B	gene	469410	0.00025776	154
554	SPG7	gene	467947	0.00025696	200
555	KIF23	gene	467693	0.00025682	199
556	CPSF7	gene	466275	0.00025604	210
557	PINK1	gene	466003	0.00025589	151
558	MRPS17	gene	465744	0.00025575	190
559	NUDT21	gene	465675	0.00025571	203
560	NOL10	gene	465486	0.00025561	178
561	KLHL20	gene	465393	0.00025556	140
562	GTF2I	gene	464753	0.0002552	185
563	YWHAG	gene	464646	0.00025515	207
564	EP400	gene	464574	0.00025511	158
565	GANAB	gene	464041	0.00025481	229
566	ATP1B1	gene	463322	0.00025442	151
567	PPIF	gene	462799	0.00025413	173
568	HDAC9	gene	462437	0.00025393	154
569	ATP6V0A1	gene	461826	0.0002536	145
570	BCL2L11	gene	461108	0.0002532	130
571	PHC3	gene	461091	0.00025319	140
572	EFNB2	gene	460527	0.00025288	144
573	PPP3CC	gene	460362	0.00025279	135
574	RALY	gene	458714	0.00025189	205
575	HSPA5	gene	458619	0.00025184	192
576	MAP3K1	gene	458526	0.00025179	207
577	RNF8	gene	458127	0.00025157	162
578	MBD3	gene	457629	0.00025129	181
579	ASF1A	gene	457418	0.00025118	171
580	PEX10	gene	457222	0.00025107	91
581	DCP2	gene	457111	0.00025101	137
582	EPB41	gene	456988	0.00025094	127
583	ATP6V1F	gene	456860	0.00025087	139
584	MRPL37	gene	456723	0.0002508	173
585	UTRN	gene	456299	0.00025056	147
586	H2BC21	gene	455901	0.00025034	198
587	AKAP1	gene	455766	0.00025027	167
588	REEP5	gene	455431	0.00025009	149
589	STX8	gene	455036	0.00024987	127
590	NDE1	gene	454746	0.00024971	143
591	OBSL1	gene	454584	0.00024962	211
592	LBR	gene	454390	0.00024951	177
593	SLU7	gene	454378	0.00024951	161
594	BMPR2	gene	454241	0.00024943	113
595	RCN2	gene	453999	0.0002493	207
596	MRPS33	gene	453996	0.0002493	181
597	NDUFB11	gene	453720	0.00024915	139
598	TRA2A	gene	452473	0.00024846	217
599	NDUFC2	gene	451730	0.00024805	127
600	EFTUD2	gene	451535	0.00024795	242
601	RAB3A	gene	451509	0.00024793	115
602	TGOLN2	gene	450974	0.00024764	156
603	CEP97	gene	450571	0.00024742	165
604	MTUS2	gene	450400	0.00024732	151
605	CCNT2	gene	450370	0.00024731	148
606	QKI	gene	450310	0.00024727	157
607	CCDC124	gene	449894	0.00024705	183
608	SLC25A1	gene	449887	0.00024704	218
609	LIMA1	gene	448668	0.00024637	211
610	TLE1	gene	448661	0.00024637	125
611	GATAD2B	gene	447530	0.00024575	169
612	BAIAP2	gene	446513	0.00024519	142
613	IKZF1	gene	446058	0.00024494	136
614	HABP2	gene	444844	0.00024427	113
615	SORL1	gene	444330	0.00024399	124
616	HDAC7	gene	444056	0.00024384	142
617	EIF5AL1	gene	443810	0.0002437	236
618	DDX24	gene	443323	0.00024344	223
619	GOSR1	gene	443207	0.00024337	109
620	VLDLR	gene	443193	0.00024337	103
621	SEC24D	gene	443057	0.00024329	111
622	COX6C	gene	441733	0.00024256	175
623	ZC3H13	gene	441164	0.00024225	168
624	IKBKE	gene	440211	0.00024173	139
625	SHARPIN	gene	440174	0.00024171	131
626	SPAG8	gene	439950	0.00024158	70
627	FAS	gene	439835	0.00024152	135
628	APPL1	gene	439254	0.0002412	141
629	EPN1	gene	438992	0.00024106	140
630	MAPRE3	gene	438903	0.00024101	143
631	PPM1G	gene	438847	0.00024098	208
632	FKBP4	gene	438795	0.00024095	160
633	MED11	gene	438682	0.00024089	129
634	VAC14	gene	438432	0.00024075	129
635	TPI1	gene	437692	0.00024034	192
636	ARPC1A	gene	437155	0.00024005	150
