rank	node	node_type	visit_count	visit_prob	degree	gat_hub_score
69	GABARAPL2	gene	1169229	0.00064205	501	0.03861962
70	BRD3	gene	1157794	0.00063577	476	0.04328613
71	CDC73	gene	1145155	0.00062883	504	0.02774967
72	AKIRIN2	gene	1144686	0.00062857	544	0.00775388
73	UBQLN2	gene	1139068	0.00062548	499	0.04257119
74	LNX1	gene	1113320	0.00061134	332	0.0922304
75	HNRNPL	gene	1105360	0.00060697	485	0.01161401
76	ACTR5	gene	1101448	0.00060483	249	0.16732517
77	GABARAP	gene	1099377	0.00060369	468	0.03902845
78	KDM1A	gene	1098894	0.00060342	426	0.04205751
79	MRPL11	gene	1094927	0.00060124	568	0.02199074
80	XRCC5	gene	1080968	0.00059358	459	0.03540152
81	DYRK1A	gene	1079825	0.00059295	418	0.04577061
82	RBBP7	gene	1064742	0.00058467	445	0.02850801
83	MAP1LC3B	gene	1059293	0.00058168	451	0.03601243
84	MRPL17	gene	1049587	0.00057635	520	0.02503174
85	DDRGK1	gene	1045342	0.00057402	464	0.04169235
86	POLR1C	gene	1042591	0.00057251	500	0.02653789
87	PIH1D1	gene	1042326	0.00057236	470	0.03201815
88	MRPS2	gene	1042007	0.00057219	554	0.01983445
89	PLCG1	gene	1041864	0.00057211	341	0.05440211
90	UBL4A	gene	1037493	0.00056971	502	0.02424632
91	SIN3A	gene	1031218	0.00056626	392	0.04332689
92	NDUFS8	gene	1027120	0.00056401	401	0.04814038
93	EIF4A3	gene	1021476	0.00056091	458	0.02576896
94	HERC2	gene	1016640	0.00055826	408	0.04232141
95	PPP1CB	gene	1016314	0.00055808	403	0.0440738
96	TP53	gene	1015868	0.00055783	476	0.00814835
97	TJP1	gene	1011701	0.00055554	343	0.05142004
98	ITSN1	gene	1008095	0.00055356	334	0.06007916
99	BRD2	gene	996825	0.00054738	400	0.04263043
100	MAPK8	gene	993870	0.00054575	447	0.02875829
101	HNRNPK	gene	986402	0.00054165	433	0.03056154
102	TRIM28	gene	984581	0.00054065	371	0.00981895
103	H4C6	gene	982147	0.00053932	466	0.0072276
104	NEDD8	gene	974580	0.00053516	434	0.03043265
105	OTUB1	gene	965993	0.00053044	413	0.03281341
106	APOE	gene	962567	0.00052856	291	0.06862874
107	ITSN2	gene	960232	0.00052728	324	0.0583313
108	SYNCRIP	gene	957730	0.00052591	461	0.02511437
109	TUBA1B	gene	955001	0.00052441	358	0.05030662
110	POLR2G	gene	945279	0.00051907	394	0.03118808
111	RSAD1	gene	942909	0.00051777	477	0.02831282
112	SMAD2	gene	934392	0.00051309	348	0.04273222
113	CDC37	gene	923048	0.00050686	382	0.03422521
114	PRPF19	gene	922073	0.00050633	399	0.03311942
115	METTL14	gene	919241	0.00050477	395	0.03863487
116	HSPBP1	gene	918270	0.00050424	462	0.02727043
117	MRPL21	gene	914575	0.00050221	457	0.02242531
118	CLTA	gene	908648	0.00049896	356	0.03650882
119	C1QBP	gene	905089	0.000497	396	0.03505612
120	GNB5	gene	902987	0.00049585	284	0.06233533
121	HMGN1	gene	902111	0.00049537	480	0.02204108
122	NCOR2	gene	901411	0.00049498	356	0.03512367
123	MRPL43	gene	900050	0.00049423	443	0.0239907
124	LRRK2	gene	894354	0.00049111	426	0.00693744
125	DDX3X	gene	893091	0.00049041	416	0.02532109
126	CREB1	gene	892634	0.00049016	309	0.05876317
127	CASK	gene	887596	0.0004874	275	0.07389015
128	VAPB	gene	884798	0.00048586	305	0.06119776
129	ICAM1	gene	882616	0.00048466	269	0.07353148
130	TUFM	gene	882132	0.0004844	436	0.01834295
131	MYC	gene	881762	0.00048419	461	0.00685814
132	BRD1	gene	879109	0.00048274	341	0.05239779
133	EIF6	gene	877241	0.00048171	392	0.03257883
134	NCK1	gene	872184	0.00047893	305	0.04453193
135	TLN1	gene	867202	0.0004762	303	0.05057629
136	CDC34	gene	864306	0.00047461	366	0.03511862
137	DDX6	gene	860765	0.00047266	410	0.02478773
138	LCK	gene	858630	0.00047149	291	0.05302161
139	TRAP1	gene	850051	0.00046678	388	0.03153243
140	RAB11A	gene	848870	0.00046613	302	0.04815858
141	RANBP2	gene	847884	0.00046559	380	0.02328049
142	TAF1	gene	847844	0.00046557	316	0.04434065
143	RAD51	gene	845572	0.00046432	316	0.04772913
144	SNRNP200	gene	842550	0.00046266	372	0.0263234
145	TRRAP	gene	832755	0.00045728	344	0.02974224
146	RHOJ	gene	828632	0.00045502	301	0.05569683
147	PTPN6	gene	828371	0.00045487	219	0.10240217
148	SUZ12	gene	827519	0.00045441	347	0.02977361
149	GNAI2	gene	816894	0.00044857	244	0.06857116
150	PXN	gene	814553	0.00044729	296	0.03995812
151	CTCF	gene	814062	0.00044702	402	0.02108941
152	NONO	gene	814048	0.00044701	365	0.02893037
153	MRPL46	gene	812618	0.00044622	404	0.02167787
154	COX4I1	gene	810073	0.00044483	320	0.04011046
155	BSG	gene	804638	0.00044184	283	0.05456499
156	SF3A1	gene	804057	0.00044152	354	0.02904951
157	WDR77	gene	803955	0.00044147	375	0.02372279
158	RNF4	gene	803817	0.00044139	359	0.00996116
159	HSPA2	gene	801648	0.0004402	301	0.04554658
160	CPSF6	gene	801479	0.00044011	392	0.02237473
161	KIF14	gene	800664	0.00043966	384	0.00747407
162	CUL4B	gene	800461	0.00043955	325	0.0314232
163	DNAJC1	gene	799125	0.00043881	319	0.05016433
164	MAP3K7	gene	795965	0.00043708	305	0.03907664
165	SCARB2	gene	792101	0.00043496	272	0.05634185
166	DVL2	gene	790243	0.00043394	274	0.05017631
167	SORT1	gene	788252	0.00043284	249	0.07718883
168	ITGB3	gene	785003	0.00043106	242	0.0581511
169	CDH1	gene	782671	0.00042978	446	0.02160689
170	ATF2	gene	781988	0.0004294	341	0.0262305
171	TRIM14	gene	781767	0.00042928	351	0.03594849
172	MRPL32	gene	777946	0.00042718	399	0.02018203
173	FAF2	gene	776416	0.00042634	315	0.03652688
174	RNF2	gene	774450	0.00042526	326	0.02518753
175	NMRAL1	gene	771053	0.0004234	336	0.02802508
176	ENG	gene	770419	0.00042305	268	0.0566618
177	MRPL36	gene	767789	0.00042161	387	0.02096755
178	NDUFV1	gene	761709	0.00041827	329	0.02668982
179	FANCE	gene	759643	0.00041713	362	0.02745446
180	NINL	gene	754225	0.00041416	307	0.04061111
181	SP1	gene	750177	0.00041194	302	0.03533906
182	MED14	gene	749241	0.00041142	285	0.04233247
183	HDAC4	gene	748857	0.00041121	309	0.02941398
184	CDKN1A	gene	746140	0.00040972	307	0.03542497
185	MRPL12	gene	744849	0.00040901	359	0.0231109
186	SMARCA5	gene	744335	0.00040873	337	0.02393955
187	MYO1C	gene	740746	0.00040676	292	0.03798357
188	PARP1	gene	740537	0.00040664	611	0.01034268
189	RHOG	gene	740515	0.00040663	279	0.04579657
190	GTF2B	gene	739285	0.00040596	291	0.03756783
191	MAVS	gene	738911	0.00040575	251	0.05771619
192	DYNLT1	gene	736400	0.00040437	263	0.05740236
193	MRPL33	gene	735496	0.00040387	373	0.01938322
194	KRR1	gene	729536	0.0004006	323	0.03467256
195	MATR3	gene	727745	0.00039962	357	0.02084608
196	TES	gene	727672	0.00039958	295	0.03727004
197	CSNK1E	gene	726848	0.00039913	241	0.06487602
198	SPTBN1	gene	726593	0.00039899	292	0.03371417
199	IFI35	gene	726092	0.00039871	359	0.02731175
200	SOX2	gene	723945	0.00039753	346	0.00783798
201	TULP3	gene	722247	0.0003966	263	0.05180215
202	PICALM	gene	722118	0.00039653	251	0.0596714
203	PDIA4	gene	719825	0.00039527	259	0.05861979
204	NDUFA9	gene	719225	0.00039494	309	0.02870271
205	MRPL41	gene	717110	0.00039378	367	0.01910886
206	CDC42	gene	715888	0.00039311	326	0.00887139
207	MSN	gene	714171	0.00039216	277	0.03476668
208	MRPL15	gene	712815	0.00039142	384	0.01634498
209	LPAR1	gene	712560	0.00039128	180	0.11372192
210	NUMA1	gene	711166	0.00039051	332	0.02736063
211	FXR2	gene	710101	0.00038993	308	0.03320126
212	VAMP2	gene	707555	0.00038853	235	0.04549464
213	MYO6	gene	704244	0.00038671	270	0.03793163
214	EGFR	gene	703361	0.00038623	303	0.0080895
215	CFL1	gene	696149	0.00038227	294	0.03229975
216	TUBB2A	gene	695920	0.00038214	262	0.04261138
217	BCAP31	gene	692812	0.00038044	275	0.03933952
218	ITCH	gene	691872	0.00037992	259	0.04220497
219	MDFI	gene	689452	0.00037859	164	0.1293365
220	TAF4	gene	688397	0.00037801	271	0.03077051
221	MRPL38	gene	686165	0.00037679	336	0.02431937
222	TCF3	gene	684246	0.00037573	214	0.07371091
223	TRIM27	gene	684153	0.00037568	243	0.06047191
224	XIAP	gene	682453	0.00037475	249	0.04154289
225	AMBRA1	gene	678449	0.00037255	268	0.03691799
226	HMGA1	gene	677143	0.00037183	303	0.03217602
227	CTR9	gene	674614	0.00037044	282	0.0313738
228	HNRNPH1	gene	672260	0.00036915	304	0.00933198
229	VASP	gene	671212	0.00036858	231	0.05453741
230	EIF4A1	gene	670213	0.00036803	317	0.01940559
231	PTGES3	gene	669920	0.00036787	268	0.03734584
232	GNA13	gene	669807	0.0003678	185	0.08318723
233	NDUFB9	gene	669793	0.0003678	268	0.03427763
234	CAPZA1	gene	668744	0.00036722	267	0.03168764
235	PSMG1	gene	668389	0.00036702	312	0.02914792
236	ANXA1	gene	667709	0.00036665	229	0.05826284
237	KRT18	gene	667363	0.00036646	218	0.07353159
238	FKBP1A	gene	666582	0.00036603	250	0.04063296
239	NDUFA13	gene	665520	0.00036545	265	0.03381604
240	RPS27A	gene	664313	0.00036479	301	0.00636077
241	DNAJC10	gene	663025	0.00036408	304	0.02725702
242	PFN1	gene	659008	0.00036187	271	0.03436846
243	DNAJB1	gene	657533	0.00036106	307	0.02320847
244	PRPF40A	gene	657453	0.00036102	291	0.03278591
245	DLG1	gene	656455	0.00036047	199	0.06478328
246	DDX17	gene	656266	0.00036037	326	0.01710994
247	HNRNPR	gene	654206	0.00035924	340	0.01533375
248	SEC63	gene	652757	0.00035844	257	0.04355041
249	MRPL34	gene	652244	0.00035816	325	0.02087868
250	RTF1	gene	651651	0.00035783	266	0.0329298
251	CAPRIN1	gene	649759	0.00035679	327	0.02375769
252	UBQLN4	gene	648705	0.00035622	302	0.03110028
253	RHOA	gene	648288	0.00035599	297	0.00915235
254	EIF5A	gene	644511	0.00035391	332	0.01555838
255	LRP1	gene	644136	0.00035371	205	0.06022527
256	EXOSC10	gene	643906	0.00035358	297	0.02530115
257	PIN1	gene	641531	0.00035228	250	0.04475808
258	UQCRC1	gene	640645	0.00035179	277	0.02608761
259	NRP1	gene	639713	0.00035128	171	0.08304438
260	LRP6	gene	639673	0.00035126	161	0.09896208
261	USP9X	gene	637761	0.00035021	275	0.02693333
262	CCNT1	gene	637490	0.00035006	276	0.02829236
263	IGF2R	gene	633772	0.00034802	220	0.05132619
264	COMMD1	gene	632795	0.00034748	219	0.04656078
265	ARIH1	gene	632259	0.00034719	215	0.06110099
266	RDX	gene	631655	0.00034685	229	0.04492054
267	RAN	gene	631132	0.00034657	271	0.02917677
268	MED17	gene	628956	0.00034537	250	0.03376485
269	NDUFB10	gene	627109	0.00034436	259	0.03174682
270	FLT3	gene	627041	0.00034432	116	0.23317948
271	SMARCC2	gene	626610	0.00034408	267	0.02764602
272	ATAD3A	gene	626558	0.00034405	300	0.02522686
273	CTNNA1	gene	625541	0.0003435	224	0.04803529
274	HSPG2	gene	624516	0.00034293	158	0.09186917
275	GOPC	gene	624030	0.00034267	166	0.10709201
276	MECP2	gene	623360	0.0003423	271	0.03382387
277	ATP1A1	gene	622683	0.00034193	251	0.03316029
278	NCAPD3	gene	622325	0.00034173	282	0.02522304
279	ANAPC1	gene	621471	0.00034126	248	0.03660986
280	NDUFS7	gene	621099	0.00034106	258	0.02980685
281	CIT	gene	618632	0.0003397	306	0.00683025
282	REST	gene	618605	0.00033969	288	0.02611168
283	SHANK3	gene	615202	0.00033782	204	0.0619045
284	NIN	gene	615152	0.00033779	234	0.04832187
285	SGTA	gene	613174	0.00033671	199	0.07314637
286	ZNF746	gene	612286	0.00033622	291	0.02496956
287	GRWD1	gene	611317	0.00033569	311	0.01617813
288	TINF2	gene	607078	0.00033336	192	0.07633242
289	SF3B5	gene	606461	0.00033302	236	0.03437187
290	BCOR	gene	606427	0.000333	243	0.035426
291	BAG2	gene	602989	0.00033111	279	0.02051083
292	AP1M1	gene	602647	0.00033092	201	0.04959587
293	CD36	gene	602066	0.00033061	162	0.08722833
294	ITPR1	gene	601496	0.00033029	208	0.04508957
295	TRIM33	gene	600515	0.00032975	222	0.04797508
296	BAG5	gene	598056	0.0003284	258	0.02901119
297	SMC3	gene	597549	0.00032813	242	0.03616499
298	LMAN1	gene	596894	0.00032777	242	0.03593606
299	MYCN	gene	596566	0.00032759	333	0.00662194
300	ENY2	gene	596279	0.00032743	253	0.03551656
301	COPA	gene	592946	0.0003256	252	0.02887428
302	SNRNP40	gene	592922	0.00032558	244	0.02708324
303	NSF	gene	591612	0.00032487	216	0.04416225
304	VWF	gene	588812	0.00032333	197	0.05572174
305	DCAF7	gene	588455	0.00032313	226	0.03857915
306	SUV39H1	gene	587870	0.00032281	223	0.0431269
307	ATM	gene	586075	0.00032182	413	0.02270489
308	ACTR1A	gene	584920	0.00032119	243	0.02789454
309	COX5B	gene	583248	0.00032027	210	0.04628916
310	CTNND1	gene	581295	0.0003192	213	0.04137137
311	BICD2	gene	580103	0.00031855	225	0.0479624
312	ABL1	gene	579084	0.00031799	343	0.03319645
313	SMC1A	gene	578301	0.00031756	244	0.03235378
314	MED31	gene	577855	0.00031731	213	0.04394007
315	SLC9A3R1	gene	576132	0.00031636	186	0.05552466
316	YKT6	gene	576002	0.00031629	192	0.04608483
317	TOP1	gene	575822	0.00031619	505	0.01274938
318	AP2S1	gene	574932	0.00031571	192	0.03846734
319	SRPRB	gene	574779	0.00031562	246	0.02823913
320	NDUFB8	gene	574093	0.00031525	224	0.03203442
321	METAP2	gene	573553	0.00031495	276	0.03024775
322	C4A	gene	571609	0.00031388	128	0.13488614
323	POLE2	gene	571075	0.00031359	195	0.06082701
324	COMMD4	gene	570044	0.00031302	220	0.03652092
325	CCDC22	gene	569740	0.00031285	201	0.04469463
326	UBE2K	gene	569664	0.00031281	194	0.06384366
327	UBC	gene	569487	0.00031272	244	0.00671285
328	LSM14A	gene	569302	0.00031261	252	0.03212052
329	LGALS8	gene	568864	0.00031237	160	0.08531392
330	HABP2	gene	566990	0.00031134	113	0.19018288
331	NCOA1	gene	566983	0.00031134	208	0.0399085
332	PPP2R1B	gene	566639	0.00031115	190	0.05359579
333	RING1	gene	565156	0.00031034	226	0.02965733
334	HECTD1	gene	564674	0.00031007	233	0.03568691
335	RRS1	gene	563769	0.00030958	290	0.01853051
336	DERL1	gene	563319	0.00030933	191	0.06003783
337	CD2AP	gene	562715	0.000309	205	0.04038465
338	TNRC6A	gene	561469	0.00030831	249	0.02426844
339	PRDX1	gene	561344	0.00030824	242	0.02836158
340	BCLAF1	gene	560467	0.00030776	249	0.02971604
341	CTNNB1	gene	559423	0.00030719	243	0.00766295
342	LMBR1L	gene	558384	0.00030662	248	0.00884963
343	THRAP3	gene	556658	0.00030567	272	0.0193951
344	DBN1	gene	554977	0.00030475	251	0.02454827
345	UQCRH	gene	554976	0.00030475	219	0.03538577
346	LRP5	gene	551524	0.00030285	144	0.0811748
347	ATP6V0D1	gene	550113	0.00030208	198	0.04453458
348	SMARCD1	gene	549050	0.00030149	210	0.03579662
349	SMARCE1	gene	547874	0.00030085	221	0.02952441
350	EIF2AK2	gene	546272	0.00029997	222	0.03913357
351	SEC16A	gene	545877	0.00029975	220	0.03451186
352	MRPS18A	gene	545627	0.00029961	284	0.01530202
353	OCLN	gene	544008	0.00029872	166	0.06339325
354	GAB1	gene	543750	0.00029858	193	0.04144292
355	STAT5B	gene	542636	0.00029797	172	0.05315855
356	MLLT3	gene	542220	0.00029774	219	0.02661175
357	TUBGCP3	gene	541925	0.00029758	214	0.04347654
358	LRRC31	gene	540407	0.00029675	204	0.04758276
359	STX6	gene	540263	0.00029667	151	0.06841517
360	UBA52	gene	540026	0.00029654	241	0.00632731
361	LSM4	gene	539483	0.00029624	216	0.03403047
362	TFAP2A	gene	538470	0.00029568	189	0.05927502
363	ATXN1	gene	536838	0.00029479	146	0.10192945
364	CDC40	gene	533584	0.000293	212	0.03013172
365	LATS1	gene	533452	0.00029293	173	0.06667606
366	SYT1	gene	532999	0.00029268	156	0.06877348
367	ACTR3	gene	532952	0.00029265	218	0.03045205
368	CUL7	gene	532767	0.00029255	277	0.00564077
369	NDUFB7	gene	531598	0.00029191	210	0.03235807
370	DDX1	gene	531498	0.00029186	247	0.02387599
371	ATXN3	gene	530177	0.00029113	211	0.03952182
372	HSPA1A	gene	528937	0.00029045	239	0.02275064
373	MTUS2	gene	528921	0.00029044	151	0.0949257
374	NOC4L	gene	528790	0.00029037	234	0.02445239
375	TNKS1BP1	gene	528139	0.00029001	231	0.02937774
376	PRKAR1A	gene	527567	0.0002897	200	0.04025519
377	PRKCZ	gene	526593	0.00028916	210	0.03069528
378	RB1	gene	525635	0.00028864	377	0.01905428
379	CWC22	gene	523193	0.0002873	195	0.04000598
380	SLC3A2	gene	523111	0.00028725	187	0.0504285
381	CBX6	gene	522769	0.00028706	184	0.0539896
382	BIRC6	gene	521522	0.00028638	181	0.06084011
383	GTF2E1	gene	520954	0.00028607	199	0.03900095
384	ACTB	gene	520296	0.0002857	220	0.00686878
385	CXXC1	gene	519767	0.00028541	210	0.03793244
386	RFC4	gene	519427	0.00028523	222	0.02664487
387	KRT8	gene	516917	0.00028385	192	0.04607166
388	IFT57	gene	516703	0.00028373	171	0.05736618
389	WDR36	gene	516629	0.00028369	234	0.02284406
390	KBTBD7	gene	516189	0.00028345	191	0.04336753
391	PICK1	gene	516027	0.00028336	149	0.07672993
392	SDHA	gene	515566	0.00028311	201	0.04572548
393	CDC25A	gene	515231	0.00028292	109	0.17111733
394	SETD1A	gene	514978	0.00028278	223	0.03083744
395	HEATR1	gene	514968	0.00028278	231	0.02383776
396	PRKAA1	gene	514898	0.00028274	172	0.06504887
397	DDX39A	gene	513589	0.00028202	206	0.01365648
398	PSMA2	gene	512864	0.00028162	205	0.03032659
399	FADD	gene	512765	0.00028157	161	0.0630875
400	UQCRB	gene	512498	0.00028142	198	0.03259501
401	UBAP2L	gene	512322	0.00028133	239	0.02076927
402	TPR	gene	511060	0.00028063	212	0.02331163
403	ITPR3	gene	509201	0.00027961	193	0.03061888
404	CNOT2	gene	507702	0.00027879	177	0.06109884
405	HSPE1	gene	506153	0.00027794	200	0.04575269
406	BMI1	gene	505500	0.00027758	240	0.00669946
407	ADRB2	gene	505319	0.00027748	168	0.04449486
408	ARF6	gene	504983	0.0002773	166	0.05496469
409	HSPA8	gene	504573	0.00027707	228	0.00673273
410	TADA3	gene	504095	0.00027681	203	0.03159962
411	TXNIP	gene	503448	0.00027645	200	0.04075978
412	DYNC1I2	gene	502894	0.00027615	191	0.03253917
413	REEP5	gene	502802	0.0002761	149	0.08380144
414	TAF9B	gene	501867	0.00027558	195	0.03453091
415	IRF3	gene	500662	0.00027492	181	0.04632846
416	TPT1	gene	499701	0.0002744	323	0.01564533
417	DLG2	gene	499356	0.00027421	128	0.09318011
418	DIDO1	gene	496919	0.00027287	213	0.03135447
419	MORF4L1	gene	496723	0.00027276	193	0.03335727
420	SYMPK	gene	496116	0.00027243	202	0.03296294
421	KIF20A	gene	495508	0.00027209	235	0.00733391
422	TIMM50	gene	495147	0.00027189	196	0.03670047
423	POLR3C	gene	494124	0.00027133	146	0.09104394
424	ANAPC5	gene	494039	0.00027129	190	0.03434634
425	SEC61G	gene	493858	0.00027119	201	0.03135798
426	ANXA5	gene	493776	0.00027114	187	0.04318255
427	UBE2S	gene	493296	0.00027088	198	0.02994362
428	SLC25A1	gene	492767	0.00027059	218	0.03255848
429	NKX2-1	gene	492011	0.00027017	194	0.04110477
430	GAB2	gene	492000	0.00027017	154	0.05245822
431	HAX1	gene	491092	0.00026967	190	0.03819045
432	MEX3B	gene	490899	0.00026956	213	0.03793313
433	AHSA1	gene	490681	0.00026944	235	0.01864515
434	YWHAZ	gene	490576	0.00026938	228	0.00896873
435	NCKAP1	gene	490531	0.00026936	164	0.05484044
436	PRPF4B	gene	490316	0.00026924	233	0.01878769
437	HSCB	gene	490037	0.00026909	225	0.00926881
438	STXBP1	gene	489974	0.00026905	152	0.06635405
439	ATP6AP2	gene	488714	0.00026836	181	0.04044669
440	RCN2	gene	488380	0.00026818	207	0.03423661
441	TAB2	gene	488335	0.00026815	190	0.03135484
442	WDR82	gene	487879	0.0002679	210	0.02670357
443	SF3B1	gene	487418	0.00026765	428	0.00731143
444	KDM5B	gene	487051	0.00026745	152	0.07172665
445	PALB2	gene	486960	0.0002674	442	0.00776206
446	CELF1	gene	486454	0.00026712	228	0.03046706
447	PPL	gene	486176	0.00026697	114	0.10627254
448	PPARA	gene	485578	0.00026664	159	0.06008502
449	HYOU1	gene	485525	0.00026661	192	0.03738157
450	SORL1	gene	485474	0.00026658	124	0.10826249
451	EIF5A2	gene	485381	0.00026653	254	0.01754107
452	PCBP2	gene	485308	0.00026649	230	0.0180556
453	CBFB	gene	484897	0.00026627	187	0.0318695
454	XRN2	gene	484823	0.00026623	232	0.02313729
455	AKAP1	gene	484567	0.00026608	167	0.0553278
456	LIMA1	gene	484468	0.00026603	211	0.03128298
457	TRAF3IP1	gene	483105	0.00026528	166	0.04980271
458	MRPS34	gene	482869	0.00026515	237	0.0168925
459	MRPS23	gene	481000	0.00026413	240	0.01408029
460	MAPRE3	gene	479270	0.00026318	143	0.08466867
461	VAMP8	gene	478823	0.00026293	162	0.03687091
462	IGF1R	gene	478596	0.00026281	286	0.02792831
463	STRN	gene	478030	0.0002625	170	0.03328074
464	CCND1	gene	476951	0.0002619	381	0.01255305
465	CPSF7	gene	476077	0.00026142	210	0.02890884
466	DCP1A	gene	475795	0.00026127	183	0.04021962
467	BMP7	gene	475662	0.00026119	127	0.08697103
468	HNRNPH2	gene	475301	0.000261	221	0.02267696
469	CLTB	gene	475110	0.00026089	173	0.03698117
470	TCF7L2	gene	475055	0.00026086	186	0.03625269
471	HSP90AB1	gene	474327	0.00026046	212	0.00700512
472	CKAP5	gene	473541	0.00026003	195	0.03206938
473	BMP2	gene	473216	0.00025985	116	0.0886504
474	ASCC3	gene	472551	0.00025949	211	0.02908412
475	PRKCD	gene	472511	0.00025946	184	0.03449738
476	MAX	gene	470988	0.00025863	190	0.02964291
477	GRK5	gene	470837	0.00025855	192	0.03288927
478	ESR1	gene	470543	0.00025838	208	0.00686064
479	DNAJC16	gene	469659	0.0002579	215	0.02852427
480	GANAB	gene	469583	0.00025786	229	0.01925382
481	PPM1G	gene	469533	0.00025783	208	0.02943649
482	GCC2	gene	469392	0.00025775	160	0.05118116
483	COMMD2	gene	467667	0.0002568	169	0.03872616
484	PPP3CC	gene	466772	0.00025631	135	0.08018101
485	COPB1	gene	466754	0.0002563	184	0.0345876
486	AP1S2	gene	466435	0.00025613	149	0.04899389
487	DAG1	gene	465710	0.00025573	140	0.05580778
488	BANF1	gene	465122	0.00025541	189	0.03596077
489	FGF10	gene	464628	0.00025514	132	0.07471904
490	TPI1	gene	464588	0.00025511	192	0.03578093
491	EXOSC4	gene	463801	0.00025468	213	0.02545089
492	SLC25A4	gene	462886	0.00025418	183	0.03525146
493	NDUFB3	gene	462719	0.00025409	172	0.03508843
494	CALM3	gene	461061	0.00025318	195	0.00881801
495	SPG7	gene	458393	0.00025171	200	0.03558989
496	ATP12A	gene	458154	0.00025158	96	0.15361389
497	SRC	gene	457277	0.0002511	187	0.00788439
498	MRPS18B	gene	457249	0.00025108	230	0.01395422
